,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
139,N/A,N/A,gme,N/A,N/A,N/A,N/A,N/A,17.20,11.62,0.46,2.07,4.23,6.83,9.52,1.5,82.85,4350000000.0,4099999999.9999995,9.25,0.75,0.44,5.18,0.44,2780000000.0,1.5,393100000.0,3.47,10.70,5.60,610100000.0,5.66,355700000.0,1.26,19.20,40.32,1.5,2.15,126.00,45720000.0,22.80,46.30,47260000.0,N/A
140,N/A,N/A,gpc,N/A,N/A,N/A,N/A,N/A,24.32,20.08,0.91,4.25,4.64,7.33,8.82,1.5,100.08,14140000000.0,14910000000.0,17.73,3.56,0.97,11.72,0.97,4590000000.0,1.5,711290000.0,4.61,10.00,8.70,137730000.0,0.90,805510000.0,1.56,21.56,92.57,1.5,2.73,71.90,1940000.0,3.00,1.30,2620000.0,N/A
141,N/A,N/A,gps,N/A,N/A,N/A,N/A,N/A,45.36,14.15,1.04,5.73,7.68,12.60,16.66,1.5,37.78,17000000000.0,17070000000.0,12.97,1.42,1.04,6.48,1.04,6290000000.0,1.5,1260000000.0,2.87,3.90,2.90,1520000000.0,3.62,1350000000.0,1.93,7.09,40.60,1.5,40.80,56.10,13230000.0,3.50,6.00,14200000.0,N/A
142,N/A,N/A,gt,N/A,N/A,N/A,N/A,N/A,144.43,3.13,0.40,2.03,13.52,8.38,5.33,1.5,67.68,7410000000.0,11700000000.0,8.09,0.84,0.65,5.20,0.65,4230000000.0000005,1.5,2440000000.0,8.79,806.00,9.10,2160000000.0,8.02,6390000000.0,1.63,13.40,27.50,1.5,0.25,84.00,6380000.0,2.30,2.40,5770000.0,N/A
143,N/A,N/A,gww,N/A,N/A,N/A,N/A,N/A,14.82,20.87,1.62,5.03,8.05,14.27,16.85,1.5,145.83,16120000000.000002,16090000000.0,16.76,1.71,1.62,10.09,1.62,4310000000.0,1.5,792210000.0,11.45,5.00,5.60,226640000.0,3.36,486840000.0,2.35,47.60,238.95,1.5,13.42,73.60,7930000.0,12.30,13.00,7460000.0,N/A
144,N/A,N/A,hal,N/A,N/A,N/A,N/A,N/A,48.10,11.66,1.21,2.44,10.65,14.91,9.97,1.5,38.76,40660000000.0,44800000000.0,28.31,3.93,1.36,6.37,1.36,5210000000.0,1.5,3440000000.0,4.11,13.60,14.80,2350000000.0,2.76,7840000000.0,2.56,19.18,47.85,1.5,0.23,81.30,41770000.0,3.20,4.90,35510000.0,N/A
145,N/A,N/A,har,N/A,N/A,N/A,N/A,N/A,21.28,31.46,1.60,4.82,5.39,8.83,8.44,1.5,84.71,9750000000.0,9400000000.0,20.52,1.20,1.60,14.36,1.60,1460000000.0,1.5,315820000.0,4.51,62.30,19.20,512860000.0,7.47,415080000.0,1.62,28.42,142.00,1.5,7.33,90.90,1120000.0,1.40,1.60,1400000.0,N/A
146,N/A,N/A,has,N/A,N/A,N/A,N/A,N/A,120.15,23.18,1.92,5.60,9.72,15.00,8.98,1.5,33.31,9220000000.0,8880000000.0,18.92,1.85,2.08,11.10,2.08,2580000000.0,1.5,415930000.0,3.20,30.90,1.30,919930000.0,7.40,1810000000.0,2.53,11.77,74.16,1.5,11.04,86.80,14050000.0,13.90,14.30,14970000.0,N/A
147,N/A,N/A,hcn,N/A,N/A,N/A,N/A,N/A,79.86,51.79,7.51,2.03,15.49,26.18,2.25,1.5,10.79,24830000000.0,35820000000.0,16.29,3.25,10.84,20.86,10.84,1900000000.0,1.5,439610000.0,1.45,632.10,9.80,473730000.0,1.44,10830000000.0,1.44,37.01,75.25,1.5,0.29,84.00,13880000.0,5.20,4.60,13980000.0,N/A
148,N/A,N/A,hcp,N/A,N/A,N/A,N/A,N/A,88.82,21.61,8.79,1.85,40.69,58.35,3.99,1.5,4.94,19960000000.0,29520000000.0,13.46,4.73,13.02,16.57,13.02,2190000000.0,1.5,890050000.0,2.01,32.90,13.80,183810000.0,0.40,9770000000.0,16.44,23.35,43.33,1.5,0.38,91.40,10790000.0,2.70,2.70,9810000.0,N/A
149,N/A,N/A,hd,N/A,N/A,N/A,N/A,N/A,184.48,23.96,1.76,15.72,7.63,12.55,16.22,1.5,62.16,147550000000.0,166140000000.0,18.84,1.49,2.00,13.59,2.00,28950000000.0,1.5,6340000000.0,4.71,36.10,8.30,1720000000.0,1.32,17200000000.0,1.36,7.13,112.86,1.5,0.14,73.60,14010000.0,3.00,1.10,16300000.0,N/A
150,N/A,N/A,hig,N/A,N/A,N/A,N/A,N/A,32.63,24.29,0.95,0.95,4.31,10.99,0.49,1.5,41.94,17720000000.0,18600000000.0,10.12,1.63,1.00,8.05,1.00,7810000000.0,1.5,1350000000.0,1.73,21.70,3.20,5420000000.0,12.88,6110000000.0,4.46,44.11,42.09,1.5,3.57,91.70,7990000.0,2.60,1.90,8850000.0,N/A
151,N/A,N/A,hog,N/A,N/A,N/A,N/A,N/A,189.21,15.92,2.05,4.39,13.56,20.57,8.46,1.5,28.80,13030000000.0,18060000000.0,13.26,1.03,2.90,12.37,2.90,2440000000.0,1.5,844610000.0,3.88,1.20,0.80,631220000.0,2.99,5500000000.0,1.65,13.79,61.77,1.5,0.53,84.70,9740000.0,4.40,4.60,8830000.0,N/A
152,N/A,N/A,hon,N/A,N/A,N/A,N/A,N/A,48.23,19.25,1.97,4.51,10.52,14.47,8.02,1.5,51.38,80290000000.0,81550000000.0,15.24,1.69,2.02,12.07,2.02,11350000000.0,1.5,4240000000.0,5.33,1.00,1.20,9070000000.0,11.59,8680000000.0,1.50,22.57,102.58,1.5,0.17,81.90,5280000.0,1.80,0.70,5140000.0,N/A
153,N/A,N/A,hp,N/A,N/A,N/A,N/A,N/A,1.65,11.01,2.04,1.61,19.00,29.01,10.67,1.5,35.99,7970000000.0,7700000000.0,44.07,0.59,1.98,4.68,1.98,1710000000.0,1.5,734230000.0,6.72,17.20,18.80,251640000.0,2.34,81000000.0,2.70,45.72,74.03,1.5,2.95,94.40,11720000.0,4.90,11.10,9960000.0,N/A
154,N/A,N/A,hpq,N/A,N/A,N/A,N/A,N/A,70.85,12.82,0.54,2.24,4.50,8.04,5.38,1.5,59.10,60720000000.0,64500000000.0,8.75,3.24,0.59,4.92,0.59,26620000000.0,1.5,4950000000.0,2.61,4.10,4.70,12920000000.0,7.11,19060000000.0,1.13,14.55,33.41,1.5,0.07,79.50,22590000.0,1.50,1.20,22630000.0,N/A
155,N/A,N/A,hrl,N/A,N/A,N/A,N/A,N/A,6.70,24.52,1.57,3.99,6.56,10.15,11.31,1.5,35.89,14890000000.0,15030000000.0,20.28,3.11,1.59,13.76,1.59,1560000000.0,1.5,621050000.0,2.30,12.00,6.80,527100000.0,2.00,250000000.0,2.40,14.13,56.39,1.5,49.31,32.70,4150000.0000000005,5.00,3.10,4570000.0,N/A
156,N/A,N/A,hrs,N/A,N/A,N/A,N/A,N/A,91.15,15.77,1.65,4.51,10.84,17.30,11.07,1.5,47.18,8260000000.0,9620000000.0,15.49,8.94,1.94,9.04,1.94,1700000000.0,1.5,536500000.0,5.03,2.40,1.40,469500000.0,4.51,1650000000.0,1.89,17.41,79.30,1.5,0.14,86.70,4690000.0,3.40,4.50,3860000.0,N/A
157,N/A,N/A,hsp,N/A,N/A,N/A,N/A,N/A,52.63,45.05,3.35,4.47,7.47,11.14,4.85,1.5,26.54,15030000000.0,15970000000.0,29.18,2.92,3.58,21.88,3.58,1590000000.0,1.5,333200000.0,1.95,6.90,3.90,802500000.0,4.69,1760000000.0,2.27,19.58,87.84,1.5,0.45,93.10,2100000.0,1.00,1.40,2210000.0,N/A
158,N/A,N/A,hst,N/A,N/A,N/A,N/A,N/A,52.58,21.35,2.90,2.12,13.61,12.47,3.35,1.5,7.12,15600000000.0,18500000000.0,12.19,1.96,3.44,13.54,3.44,3320000000.0,1.5,732000000.0,0.97,106.50,1.80,684000000.0,0.90,3990000000.0,2.52,9.71,20.60,1.5,1.94,105.10,40150000.0,4.70,7.10,30100000.0,N/A
159,N/A,N/A,hsy,N/A,N/A,N/A,N/A,N/A,143.76,26.05,2.98,15.23,11.41,19.58,16.53,1.5,33.35,21690000000.0,23820000000.0,20.59,2.32,3.21,14.31,3.21,3340000000.0,1.5,846910000.0,3.77,8.80,2.70,471980000.0,2.14,2180000000.0,1.16,6.58,98.21,1.5,0.20,75.10,4160000.0,4.30,2.90,4470000.0,N/A
160,N/A,N/A,ibm,N/A,N/A,N/A,N/A,N/A,339.64,13.96,1.71,13.41,12.96,21.42,10.20,1.5,92.40,164240000000.0,193300000000.0,10.08,1.99,2.08,7.93,2.08,46410000000.0,1.5,15750000000.0,11.90,11.30,12.00,8480000000.0,8.58,40800000000.0,1.25,11.98,166.16,1.5,0.06,59.30,27890000.0,5.80,2.80,24320000.0,N/A
161,N/A,N/A,iff,N/A,N/A,N/A,N/A,N/A,61.89,23.25,3.04,6.19,13.42,19.47,11.01,1.5,38.16,9500000000.0,10070000000.0,19.68,2.29,3.26,14.63,3.26,1360000000.0,1.5,412140000.0,5.06,46.60,4.30,479260000.0,5.94,942320000.0,3.30,18.80,117.67,1.5,1.53,81.00,1380000.0,3.00,1.70,1600000.0,N/A
162,N/A,N/A,intc,N/A,N/A,N/A,N/A,N/A,24.58,14.17,2.75,2.76,20.95,28.00,10.61,1.5,11.40,155010000000.0,150550000000.0,13.64,1.84,2.70,6.22,2.70,35610000000.0,1.5,11700000000.0,2.31,39.50,6.40,14400000000.0,3.04,13730000000.0,1.73,11.77,32.73,1.5,0.07,66.60,128470000.0,3.10,2.70,144490000.0,N/A
163,N/A,N/A,ir,N/A,N/A,N/A,N/A,N/A,69.88,19.92,1.38,3.00,7.23,10.99,5.07,1.5,47.66,17820000000.0,20580000000.0,15.31,1.76,1.60,12.04,1.60,3910000000.0,1.5,897000000.0,3.40,435.60,4.60,1710000000.0,6.48,4219999999.9999995,1.56,22.48,67.68,1.5,0.42,83.70,3680000.0,2.40,1.50,3540000.0,N/A
164,N/A,N/A,itw,N/A,N/A,N/A,N/A,N/A,109.28,13.33,2.51,5.38,20.34,19.96,9.60,1.5,36.06,36810000000.0,40480000000.0,16.76,1.49,2.80,11.92,2.80,5810000000.0,1.5,1890000000.0,7.28,10.30,1.40,3990000000.0,10.52,7460000000.0,2.29,17.81,97.02,1.5,0.74,77.10,9180000.0,4.70,3.10,9920000.0,N/A
165,N/A,N/A,jci,N/A,N/A,N/A,N/A,N/A,66.73,27.40,0.77,3.07,2.92,5.66,4.85,1.5,64.67,33590000000.000004,40270000000.0,12.62,1.19,0.94,11.98,0.94,6630000000.0,1.5,1490000000.0,1.87,8.10,0.90,193000000.0,0.29,7540000000.0,1.09,16.47,51.11,1.5,0.28,77.80,6160000.0,2.10,0.90,7280000.0,N/A
166,N/A,N/A,jec,N/A,N/A,N/A,N/A,N/A,16.79,18.67,0.48,1.38,2.61,5.02,4.82,1.5,98.48,6080000000.0,6060000000.0,13.82,1.65,0.47,7.59,0.47,2069999999.9999998,1.5,334450000.0,2.54,6.80,3.80,670080000.0,5.22,750940000.0,1.65,34.28,47.39,1.5,2.20,85.00,4810000.0,4.10,3.80,3840000.0,N/A
167,N/A,N/A,jnj,N/A,N/A,N/A,N/A,N/A,26.90,17.58,3.72,3.97,21.96,28.44,10.02,1.5,26.40,278630000000.0,269450000000.0,15.54,3.17,3.63,10.76,3.63,51580000000.0,1.5,16320000000.0,5.70,28.40,0.60,33090000000.000004,11.90,18760000000.0,2.36,25.06,100.21,1.5,0.01,67.30,29830000.0,3.70,1.10,29820000.0,N/A
168,N/A,N/A,joy,N/A,N/A,N/A,N/A,N/A,47.71,13.31,1.09,1.48,8.39,13.41,5.64,1.5,36.79,3960000000.0,4960000000.0,13.75,1.83,1.36,7.96,1.36,1110000000.0,1.5,305770000.0,3.06,51.70,16.10,152330000.0,1.56,1280000000.0,2.31,27.59,40.71,1.5,0.53,111.50,13120000.0,6.50,13.50,13480000.0,N/A
169,N/A,N/A,jwn,N/A,N/A,N/A,N/A,N/A,128.32,20.62,1.08,5.95,5.33,9.66,9.15,1.5,71.08,14600000000.0,17580000000.0,18.31,2.53,1.30,9.70,1.30,5100000000.0,1.5,720000000.0,3.72,4.90,8.90,827000000.0,4.34,3130000000.0,1.87,12.84,76.70,1.5,26.23,57.70,3330000.0,3.30,2.40,3950000.0,N/A
170,N/A,N/A,kim,N/A,N/A,N/A,N/A,N/A,92.53,28.46,10.47,2.18,42.53,36.06,2.25,1.5,2.44,10450000000.0,15120000000.0,16.34,3.78,15.17,24.49,15.17,735280000.0,1.5,312970000.0,0.89,14.30,18.60,187320000.0,0.45,4620000000.0,0.31,11.59,25.33,1.5,2.96,95.40,10940000.0,4.50,3.30,9970000.0,N/A
171,N/A,N/A,klac,N/A,N/A,N/A,N/A,N/A,539.09,22.97,3.27,15.67,14.72,24.48,8.46,1.5,17.47,9530000000.0,10500000000.0,13.65,2.12,3.64,13.31,3.64,1700000000.0,1.5,424810000.0,2.55,85.40,4.10,2370000000.0,14.55,3250000000.0,4.29,3.70,58.56,1.5,0.27,95.90,4310000.0,3.10,2.90,4280000.0,N/A
172,N/A,N/A,kmi,N/A,N/A,N/A,N/A,N/A,124.95,49.11,5.76,2.75,6.32,27.64,3.54,1.5,14.27,93100000000.0,134000000000.0,44.15,12.38,8.26,20.54,8.26,7790000000.0,1.5,1020000000.0,0.89,62.70,2.00,458000000.0,0.22,43020000000.0,0.59,15.98,43.71,1.5,35.16,51.10,69600000.0,7.30,3.90,66319999.99999999,N/A
173,N/A,N/A,ko,N/A,N/A,N/A,N/A,N/A,136.72,25.41,3.83,5.80,15.43,23.63,7.46,1.5,10.49,177530000000.0,198590000000.0,19.27,4.21,4.32,15.46,4.32,28110000000.0,1.5,7100000000.0,1.60,55.00,1.50,21690000000.0,4.97,41780000000.0,1.02,6.95,40.66,1.5,0.56,59.80,31850000.0,1.90,0.80,36730000.0,N/A
174,N/A,N/A,kss,N/A,N/A,N/A,N/A,N/A,79.47,17.77,0.79,2.50,4.56,8.88,7.33,1.5,93.71,15280000000.0,19250000000.0,15.04,2.52,1.01,7.48,1.01,6920000000.0,1.5,867000000.0,4.24,10.50,3.90,1410000000.0,6.94,4760000000.0,1.99,29.81,75.33,1.5,3.07,101.20,22560000.0,8.60,11.20,24480000.0,N/A
175,N/A,N/A,ksu,N/A,N/A,N/A,N/A,N/A,56.98,23.60,4.48,3.08,19.50,32.88,6.82,1.5,23.39,11850000000.0,13710000000.0,18.26,1.52,5.32,12.41,5.32,1700000000.0,1.5,502400000.0,4.55,23.90,4.40,348000000.0,3.15,2320000000.0,0.91,33.96,107.37,1.5,1.23,90.90,2930000.0,3.00,2.70,3220000.0,N/A
176,N/A,N/A,leg,N/A,N/A,N/A,N/A,N/A,83.85,64.84,1.59,5.23,2.59,8.49,6.42,1.5,26.75,6140000000.0,6900000000.0,18.95,1.48,1.82,16.02,1.82,790400000.0,1.5,222000000.0,0.68,267.90,11.00,332800000.0,2.41,968400000.0,1.44,8.32,44.35,1.5,1.98,75.10,4950000.0,4.40,3.70,6780000.0,N/A
177,N/A,N/A,lh,N/A,N/A,N/A,N/A,N/A,106.75,21.21,2.08,3.73,8.50,15.98,8.42,1.5,70.89,12570000000.0,15090000000.0,14.59,1.66,2.51,12.93,2.51,2200000000.0,1.5,511200000.0,5.91,5.30,5.30,580000000.0,5.78,3030000000.0,1.73,33.34,125.35,1.5,0.35,103.50,3810000.0,4.10,3.80,3830000.0,N/A
178,N/A,N/A,lll,N/A,N/A,N/A,N/A,N/A,73.51,16.36,0.83,1.90,5.48,9.20,5.01,1.5,141.97,10210000000.0,13900000000.0,14.80,41.49,1.15,10.37,1.15,1080000000.0,1.5,664000000.0,7.56,9.70,0.80,442000000.0,5.36,3940000000.0,1.88,64.42,123.69,1.5,0.65,87.20,560.50,1.00,0.70,613.06,N/A
179,N/A,N/A,lly,N/A,N/A,N/A,N/A,N/A,53.33,32.47,3.92,5.00,12.19,16.97,5.75,1.5,18.33,76800000000.0,81680000000.0,20.40,5.11,4.16,17.35,4.16,14680000000.0,1.5,2390000000.0,2.23,41.10,11.80,4930000000.0,4.65,8210000000.000001,1.09,14.49,72.41,1.5,12.11,63.50,21170000.0,4.50,2.20,19690000.0,N/A
180,N/A,N/A,lm,N/A,N/A,N/A,N/A,N/A,23.01,28.46,2.15,1.33,7.97,19.43,4.84,1.5,24.00,6100000000.0,6040000000.0,16.46,1.49,2.16,10.13,2.16,2690000000.0,1.5,223070000.0,1.90,5.70,0.20,1150000000.0,10.21,1060000000.0,2.55,40.19,54.14,1.5,0.78,94.10,3960000.0,4.90,4.40,4080000.0,N/A
181,N/A,N/A,lmt,N/A,N/A,N/A,N/A,N/A,181.44,17.56,1.34,17.99,7.93,11.77,9.16,1.5,143.94,61800000000.0,67650000000.00001,15.85,2.00,1.48,10.99,1.48,5260000000.0,1.5,3610000000.0,11.21,85.20,8.60,1450000000.0,4.61,6170000000.0,1.11,10.83,196.80,1.5,0.10,86.10,3180000.0,2.60,1.20,3000000.0,N/A
182,N/A,N/A,lrcx,N/A,N/A,N/A,N/A,N/A,30.64,17.84,2.32,2.25,14.73,16.04,6.22,1.5,29.70,11470000000.0,10290000000.0,12.65,1.29,2.12,9.70,2.12,2009999999.9999998,1.5,715810000.0,4.04,18.80,10.40,2880000000.0,18.10,1530000000.0,2.88,31.39,71.99,1.5,0.26,96.70,9020000.0,3.90,6.20,8450000.0,N/A
183,N/A,N/A,luv,N/A,N/A,N/A,N/A,N/A,40.64,25.99,1.52,4.17,6.11,12.64,7.43,1.5,27.08,28780000000.0,28710000000.0,11.47,0.40,1.54,9.07,1.54,10930000000.0,1.5,1140000000.0,1.64,10.40,4.50,2990000000.0,4.42,2750000000.0,0.74,10.03,42.57,1.5,0.13,82.60,12090000.0,2.00,2.00,12600000.0,N/A
184,N/A,N/A,lyb,N/A,N/A,N/A,N/A,N/A,85.18,12.06,1.00,5.60,9.15,12.58,13.90,1.5,88.05,45970000000.0,48100000000.0,10.86,1.30,1.06,7.17,1.06,6670000000.0,1.5,4170000000.0,7.99,32.50,7.60,2620000000.0,5.50,7110000000.0,2.14,17.07,96.35,1.5,17.60,77.50,9790000.0,2.60,2.50,9660000.0,N/A
185,N/A,N/A,m,N/A,N/A,N/A,N/A,N/A,136.50,15.83,0.81,4.21,5.43,10.24,8.35,1.5,79.12,22780000000.0,28690000000.0,12.82,1.36,1.02,7.33,1.02,11240000000.0,1.5,1530000000.0,4.22,2.20,1.80,2250000000.0,6.58,7340000000.0,1.57,15.79,66.79,1.5,0.28,90.30,16640000.0,4.80,4.90,14080000.0,N/A
186,N/A,N/A,ma,N/A,N/A,N/A,N/A,N/A,22.49,28.17,10.54,14.76,38.18,53.90,21.58,1.5,8.13,100290000000.0,96950000000.0,20.99,1.47,10.23,17.86,10.23,9470000000.0,1.5,3620000000.0,3.10,28.60,13.60,6300000000.0,5.49,1540000000.0,1.77,5.89,87.33,1.5,10.66,78.50,17640000.0,3.80,1.80,18580000.0,N/A
187,N/A,N/A,mat,N/A,N/A,N/A,N/A,N/A,71.21,18.77,1.50,3.07,8.28,12.18,6.97,1.5,17.77,9210000000.0,9320000000.0,17.12,3.21,1.55,9.49,1.55,3000000000.0,1.5,494850000.0,1.45,59.40,5.60,971650000.0,2.87,2100000000.0,2.93,8.72,27.22,1.5,0.33,96.50,35720000.0,6.60,10.60,32610000.0,N/A
188,N/A,N/A,mchp,N/A,N/A,N/A,N/A,N/A,59.57,29.05,4.73,4.39,18.17,22.46,6.82,1.5,10.47,9990000000.0,10310000000.0,16.59,1.42,4.92,14.29,4.92,1130000000.0,1.5,381100000.0,1.71,18.40,9.60,1120000000.0,5.57,1360000000.0,5.05,11.20,49.61,1.5,2.61,102.20,18750000.0,6.60,10.80,21170000.0,N/A
189,N/A,N/A,mck,N/A,N/A,N/A,N/A,N/A,97.90,31.42,0.31,5.82,0.99,1.71,4.05,1.5,751.87,53370000000.0,58040000000.0,18.22,1.21,0.33,14.80,0.33,8310000000.000001,1.5,1720000000.0,7.30,626.20,36.90,4590000000.0,19.70,10390000000.0,1.13,39.15,229.23,1.5,0.29,86.30,1130000.0,1.30,0.50,1400000.0,N/A
190,N/A,N/A,mdt,N/A,N/A,N/A,N/A,N/A,143.26,24.76,4.32,3.73,17.94,27.92,6.57,1.5,17.59,75890000000.0,74410000000.0,17.30,2.15,4.27,13.04,4.27,12670000000.0,1.5,3120000000.0,3.12,28.20,3.70,31160000000.0,31.67,28900000000.0,6.80,20.50,77.14,1.5,0.05,55.60,12810000.0,2.20,1.50,12130000.0,N/A
191,N/A,N/A,met,N/A,N/A,N/A,N/A,N/A,84.58,9.36,0.78,0.79,8.61,13.76,0.71,1.5,64.94,57400000000.0,89840000000.0,8.10,1.29,1.23,8.49,1.23,34210000000.0,1.5,6190000000.0,5.42,67.50,3.50,29140000000.0,25.74,61460000000.0,1.30,63.65,50.71,1.5,16.65,75.80,13770000.0,2.10,1.50,16629999.999999998,N/A
192,N/A,N/A,mjn,N/A,N/A,N/A,N/A,N/A,232.21,28.32,4.60,35.28,16.32,22.14,16.83,1.5,21.82,20280000000.0,20980000000.0,22.78,2.60,4.76,19.66,4.76,2710000000.0,1.5,718500000.0,3.54,3.90,3.20,1300000000.0,6.42,1510000000.0,2.00,2.84,100.25,1.5,0.22,91.80,2570000.0,2.80,1.30,2790000.0,N/A
193,N/A,N/A,mmc,N/A,N/A,N/A,N/A,N/A,47.48,21.32,2.34,4.30,11.31,17.77,8.26,1.5,23.76,30520000000.0,32200000000.000004,16.56,1.50,2.49,11.98,2.49,12950000000.0,1.5,1440000000.0,2.66,3.00,4.20,1960000000.0,3.63,3390000000.0,1.63,13.06,56.64,1.5,0.14,86.30,3760000.0,2.00,0.70,4840000.0,N/A
194,N/A,N/A,mmm,N/A,N/A,N/A,N/A,N/A,52.47,21.96,3.23,7.83,15.58,22.42,13.76,1.5,49.02,104420000000.0,110420000000.0,18.38,2.15,3.47,12.92,3.47,15370000000.0,1.5,4960000000.0,7.49,6.90,2.00,2520000000.0,3.98,6900000000.0,1.96,20.64,164.51,1.5,0.03,70.00,7300000.0,3.30,1.20,7730000.0,N/A
195,N/A,N/A,mo,N/A,N/A,N/A,N/A,N/A,482.53,20.58,5.67,33.78,28.25,43.80,14.17,1.5,9.07,103520000000.0,114660000000.0,17.37,2.29,6.39,14.21,6.39,10160000000.0,1.5,5060000000.0,2.56,153.30,4.70,3320000000.0,1.69,14690000000.0,1.11,1.53,52.63,1.5,0.17,60.10,14270000.0,1.70,0.70,13120000.0,N/A
196,N/A,N/A,mon,N/A,N/A,N/A,N/A,N/A,108.39,24.99,3.72,7.36,15.86,23.93,9.75,1.5,30.00,55880000000.0,62790000000.0,17.52,1.79,4.20,14.61,4.20,8570000000.0,1.5,2350000000.0,4.70,14.70,10.90,2720000000.0,5.71,8310000000.000001,1.96,15.85,117.37,1.5,0.25,86.50,9400000.0,2.80,1.90,11160000.0,N/A
197,N/A,N/A,mpc,N/A,N/A,N/A,N/A,N/A,58.27,11.31,0.30,2.52,2.77,4.26,8.26,1.5,320.19,27120000000.0,32560000000.000004,10.47,1.06,0.36,6.24,0.36,13540000000.0,1.5,2520000000.0,8.78,27.50,12.80,1490000000.0,5.47,6640000000.0,1.32,39.24,99.33,1.5,0.77,82.30,5300000.0,2.00,2.20,4840000.0,N/A
198,N/A,N/A,mrk,N/A,N/A,N/A,N/A,N/A,43.90,14.15,3.82,3.32,28.22,21.58,5.58,1.5,14.60,163510000000.0,168190000000.0,15.16,3.37,3.98,11.28,3.98,25470000000.0,1.5,11920000000.0,4.07,836.70,7.40,15720000000.0,5.54,21420000000.0,1.77,17.14,57.61,1.5,0.04,75.70,32009999.999999996,2.60,1.10,28540000.0,N/A
199,N/A,N/A,msft,N/A,N/A,N/A,N/A,N/A,31.28,17.31,3.65,3.72,22.12,30.59,10.88,1.5,11.33,351980000000.0,281430000000.0,14.95,2.22,3.01,8.37,3.01,59900000000.0,1.5,20680000000.0,2.48,10.60,8.00,89570000000.0,10.92,28740000000.0,2.45,11.18,42.90,1.5,7.91,71.30,79740000.0,2.10,1.10,67680000.0,N/A
200,N/A,N/A,msi,N/A,N/A,N/A,N/A,N/A,122.92,11.57,2.24,4.88,22.09,16.51,5.45,1.5,23.95,13250000000.0,12990000000.0,15.18,9.35,2.21,11.36,2.21,2830000000.0,1.5,697000000.0,5.29,41.20,0.30,3950000000.0,18.25,3400000000.0,3.06,12.44,61.16,1.5,0.43,90.40,3440000.0,2.50,1.60,3560000.0,N/A
201,N/A,N/A,mu,N/A,N/A,N/A,N/A,N/A,50.74,8.69,1.78,2.42,22.97,22.48,10.72,1.5,15.85,30350000000.0,32330000000.0,7.50,0.59,1.91,5.22,1.91,5440000000.0,1.5,3890000000.0,3.25,27.80,1.40,4480000000.0,4.17,6720000000.0,2.41,11.57,28.26,1.5,0.55,96.80,77220000.0,3.10,7.20,74220000.0,N/A
202,N/A,N/A,myl,N/A,N/A,N/A,N/A,N/A,262.14,29.08,3.42,8.05,12.04,20.04,6.20,1.5,20.66,25750000000.0,34880000000.0,14.66,1.23,4.52,16.72,4.52,3530000000.0,1.5,929400000.0,2.34,5.00,15.20,284100000.0,0.75,8590000000.0,1.28,8.68,68.04,1.5,0.64,93.00,23700000.0,4.20,6.40,27290000.0,N/A
203,N/A,N/A,nbl,N/A,N/A,N/A,N/A,N/A,59.77,16.17,3.84,1.83,24.62,33.99,4.97,1.5,13.66,19190000000.0,23500000000.0,62.07,96.68,4.77,6.84,4.77,4139999999.9999995,1.5,1210000000.0,3.26,198.50,18.40,1180000000.0,3.25,6170000000.0,1.22,28.39,52.76,1.5,1.82,93.20,8020000.0,2.00,2.70,6390000.0,N/A
204,N/A,N/A,ndaq,N/A,N/A,N/A,N/A,N/A,39.92,20.23,2.35,1.42,11.83,24.69,4.38,1.5,20.72,8160000000.0,10410000000.0,13.28,1.64,2.97,10.40,2.97,1950000000.0,1.5,414000000.0,2.39,39.00,8.40,442000000.0,2.62,2310000000.0,1.14,34.32,48.34,1.5,18.65,79.70,4310000.0,4.50,3.60,3030000.0,N/A
205,N/A,N/A,nee,N/A,N/A,N/A,N/A,N/A,143.91,18.66,2.69,2.29,14.48,25.82,3.81,1.5,39.18,46340000000.0,74970000000.0,17.22,2.95,4.40,10.28,4.40,8270000000.0,1.5,2460000000.0,5.60,170.30,28.50,577000000.0,1.30,29020000000.0,0.72,44.96,104.50,1.5,0.35,73.30,12140000.0,4.50,2.70,9990000.0,N/A
206,N/A,N/A,nflx,N/A,N/A,N/A,N/A,N/A,50.04,131.34,6.28,18.59,4.85,7.32,4.04,1.5,91.63,34330000000.0,26820000000.0,156.74,11.63,4.87,58.73,4.87,1750000000.0,1.5,266800000.0,4.32,72.20,26.30,1610000000.0,26.59,929600000.0,1.48,30.75,567.39,1.5,1.92,88.20,4970000.0,2.30,8.70,5360000.0,N/A
