,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
91,N/A,N/A,dltr,N/A,N/A,N/A,N/A,N/A,42.41,27.49,1.89,9.12,6.97,12.44,21.10,1.5,41.76,16399999999.999998,16940000000.000002,20.08,1.69,1.97,13.28,1.97,3030000000.0,1.5,599200000.0,2.90,3.10,10.80,864100000.0,4.20,757000000.0,2.32,8.68,79.71,1.5,3.44,91.10,13810000.0,5.70,6.90,13920000.0,N/A
92,N/A,N/A,dlx,N/A,N/A,N/A,N/A,N/A,86.85,17.20,2.00,5.14,11.93,20.88,13.41,1.5,33.60,3390000000.0,3930000000.0,14.54,2.03,2.35,10.32,2.35,1070000000.0000001,1.5,198720000.0,3.96,26.80,7.40,63440000.0,1.27,562380000.0,0.68,13.02,68.05,1.5,1.17,88.90,3340000.0,6.90,7.70,3990000.0,N/A
93,N/A,N/A,dnr,N/A,N/A,N/A,N/A,N/A,62.61,4.97,1.31,0.55,26.29,53.38,6.58,1.5,6.93,3140000000.0,6550000000.0,74.92,0.41,2.71,3.48,2.71,1770000000.0,1.5,635490000.0,1.81,304.10,19.40,23150000.0,0.07,3570000000.0,1.27,16.31,8.99,1.5,1.81,101.10,41330000.0,2.90,11.80,36620000.0,N/A
94,N/A,N/A,do,N/A,N/A,N/A,N/A,N/A,50.42,10.98,1.53,0.94,14.14,24.72,5.15,1.5,19.91,4230000000.0000005,6060000000.0,58.23,18.07,2.21,5.34,2.21,2740000000.0,1.5,387010000.0,2.81,6.70,4.70,249660000.0,1.82,2240000000.0,1.05,32.46,30.86,1.5,0.02,102.10,14470000.0,7.60,22.50,13360000.0,N/A
95,N/A,N/A,dov,N/A,N/A,N/A,N/A,N/A,81.90,15.89,1.52,3.18,10.00,16.30,7.92,1.5,46.51,11900000000.0,13660000000.0,15.60,1.98,1.76,8.70,1.76,2970000000.0,1.5,778140000.0,4.59,12.70,13.80,681580000.0,4.18,3030000000.0,1.54,22.70,72.99,1.5,0.87,88.00,11400000.0,7.20,7.20,10650000.0,N/A
96,N/A,N/A,dps,N/A,N/A,N/A,N/A,N/A,113.34,21.85,2.43,6.47,11.49,19.25,8.94,1.5,31.26,15010000000.0,17540000000.0,18.74,2.57,2.87,12.57,2.87,3630000000.0,1.5,703000000.0,3.56,3.80,3.10,248000000.0,1.29,2600000000.0,1.17,11.89,77.79,1.5,0.39,97.10,7420000.0,5.20,3.90,8250000.0,N/A
97,N/A,N/A,dri,N/A,N/A,N/A,N/A,N/A,68.23,12.39,1.25,3.65,10.57,5.95,3.67,1.5,50.62,8199999999.999999,9740000000.0,22.88,1.67,1.49,13.94,1.49,1300000000.0,1.5,126600000.0,5.27,22.00,6.90,436200000.0,3.47,1530000000.0,0.73,17.79,65.22,1.5,7.53,79.90,6330000.0,3.60,5.40,6520000.0,N/A
98,N/A,N/A,dte,N/A,N/A,N/A,N/A,N/A,108.07,16.08,1.16,1.72,7.36,12.83,3.66,1.5,69.50,14540000000.0,23450000000.0,16.71,3.88,1.91,8.70,1.91,3080000000.0,1.5,904000000.0,5.10,141.10,21.50,48000000.0,0.27,9020000000.0,1.20,47.05,82.03,1.5,0.42,64.20,1520000.0,1.20,0.90,1810000.0,N/A
99,N/A,N/A,dva,N/A,N/A,N/A,N/A,N/A,137.39,24.58,1.37,3.39,5.66,14.15,6.45,1.5,60.20,17660000000.0,24880000000.0,19.91,2.70,1.95,10.37,1.95,3680000000.0,1.5,723110000.0,3.33,2.00,8.50,1300000000.0,6.04,8500000000.0,1.86,23.98,81.84,1.5,2.76,83.60,4720000.0,3.30,2.70,5500000.0,N/A
100,N/A,N/A,ebay,N/A,N/A,N/A,N/A,N/A,38.32,515.41,3.77,3.43,0.26,19.83,5.12,1.5,14.31,67849999999.99999,66910000000.0,16.49,1.88,3.74,13.28,3.74,12170000000.0,1.5,46000000.0,0.04,20.40,8.60,10100000000.0,8.35,7630000000.0,1.51,16.26,56.07,1.5,8.85,84.70,17800000.0,1.90,1.60,24570000.0,N/A
101,N/A,N/A,ecl,N/A,N/A,N/A,N/A,N/A,89.32,29.55,2.41,4.72,8.42,14.27,6.52,1.5,47.59,34760000000.0,41200000000.0,22.12,1.75,2.89,14.16,2.89,6600000000.0,1.5,1200000000.0,3.93,16.90,3.40,209600000.0,0.70,6590000000.0,1.11,24.39,116.15,1.5,9.59,76.30,5940000.0,4.70,2.30,6780000.0,N/A
